192.168.0.12 - - [26/May/2024:03:43:15 +1000] "GET / HTTP/1.1" 200 767
192.168.0.12 - - [26/May/2024:03:43:15 +1000] "GET /index.js HTTP/1.1" 200 171
192.168.0.12 - - [26/May/2024:03:43:15 +1000] "GET /status.txt HTTP/1.1" 200 16
192.168.0.12 - - [26/May/2024:03:43:25 +1000] "GET / HTTP/1.1" 200 767
192.168.0.12 - - [26/May/2024:03:43:25 +1000] "GET /index.js HTTP/1.1" 200 171
192.168.0.12 - - [26/May/2024:03:43:25 +1000] "GET /status.txt HTTP/1.1" 200 16
192.168.0.12 - - [26/May/2024:03:43:35 +1000] "GET / HTTP/1.1" 200 767
192.168.0.12 - - [26/May/2024:03:43:35 +1000] "GET /index.js HTTP/1.1" 200 171
192.168.0.12 - - [26/May/2024:03:43:35 +1000] "GET /status.txt HTTP/1.1" 200 16
192.168.0.12 - - [26/May/2024:03:43:45 +1000] "GET / HTTP/1.1" 200 767
192.168.0.12 - - [26/May/2024:03:43:45 +1000] "GET /index.js HTTP/1.1" 200 171
192.168.0.12 - - [26/May/2024:03:43:45 +1000] "GET /status.txt HTTP/1.1" 200 16
192.168.0.12 - - [26/May/2024:03:43:55 +1000] "GET / HTTP/1.1" 200 767
192.168.0.12 - - [26/May/2024:03:43:55 +1000] "GET /index.js HTTP/1.1" 200 171
192.168.0.12 - - [26/May/2024:03:43:55 +1000] "GET /status.txt HTTP/1.1" 200 16
192.168.0.12 - - [26/May/2024:03:44:05 +1000] "GET / HTTP/1.1" 200 767
192.168.0.12 - - [26/May/2024:03:44:05 +1000] "GET /index.js HTTP/1.1" 200 171
192.168.0.12 - - [26/May/2024:03:44:05 +1000] "GET /status.txt HTTP/1.1" 200 16
192.168.0.12 - - [26/May/2024:03:44:15 +1000] "GET / HTTP/1.1" 200 767
192.168.0.12 - - [26/May/2024:03:44:15 +1000] "GET /index.js HTTP/1.1" 200 171
192.168.0.12 - - [26/May/2024:03:44:15 +1000] "GET /status.txt HTTP/1.1" 200 16
